= Targets sorted by number of PDB structures with matching expression system tag =

            target  nmatching_PDB_structures  top_PDB_chain_ID
            ______  ________________________  ________________
     CDK2_HUMAN_D0                       191            3QXP_A
     MK14_HUMAN_D0                       187            2BAQ_A
     PIM1_HUMAN_D0                        70            2O64_A
    AURKA_HUMAN_D0                        53            2W1G_A
    CSK21_HUMAN_D0                        38            3AXW_A
     MK10_HUMAN_D0                        36            3FI2_A
     MK01_HUMAN_D0                        32            3I5Z_A
    DAPK1_HUMAN_D0                        30            1P4F_A
     CHK2_HUMAN_D0                        25            2CN5_A
     MK08_HUMAN_D0                        22            2NO3_A
    EPHA3_HUMAN_D0                        21            4GK2_A
    MAPK2_HUMAN_D0                        20            3R2B_I
     NEK2_HUMAN_D0                        20            2XKE_A
    KAPCA_HUMAN_D0                        15            4AE9_A
    MP2K1_HUMAN_D0                        14            3MBL_A
     PAK4_HUMAN_D0                        12            4FII_A
      TTK_HUMAN_D0                        12            3H9F_A
    FGFR1_HUMAN_D0                        10            3GQL_B
     PAK1_HUMAN_D0                        10            3Q52_A
     CHK1_HUMAN_D0                         9            2E9V_A
     CSKP_HUMAN_D0                         8            3TAC_A
    STK24_HUMAN_D0                         8            3ZHP_C
     HASP_HUMAN_D0                         7            3E7V_A
     CDK6_HUMAN_D0                         6            4EZ5_A
     ABL1_HUMAN_D0                         6            3UE4_A
    DAPK2_HUMAN_D0                         6            1WMK_C
     CLK3_HUMAN_D0                         5            2WU7_A
      ITK_HUMAN_D0                         5            3QGW_B
    KS6A3_HUMAN_D0                         5            4JG7_A
    KS6A3_HUMAN_D1                         5            4JG7_A
      MET_HUMAN_D0                         5            4EEV_A
    DAPK3_HUMAN_D0                         4            2J90_A
     BRAF_HUMAN_D0                         4            4FK3_B
      FES_HUMAN_D0                         4            3CBL_A
    KCC1A_HUMAN_D0                         4            4FG7_A
    MAPK3_HUMAN_D0                         4            3FXW_A
     MK13_HUMAN_D0                         4            4EYJ_A
     MST4_HUMAN_D0                         4            4FZD_B
      SLK_HUMAN_D0                         4            2JFL_A
    STK10_HUMAN_D0                         4            4BC6_A
      CSK_HUMAN_D0                         3            3D7T_A
    DYRK2_HUMAN_D0                         3            4AZF_A
    E2AK2_HUMAN_D0                         3            3UIU_A
      ILK_HUMAN_D0                         3            3KMW_A
     KSYK_HUMAN_D0                         3            4F4P_A
